model,language,flores_code,fertility,compression_ratio,byte_fallback_rate,unknown_rate,vocab_coverage,roundtrip_pass_rate,avg_tokens_per_sent,total_tokens,total_words,total_chars,total_sentences
GEITje-7B,Croatian,hrv_Latn,2.732,2.413,2.76,0.0,80.0,100.0,52.71,53346,19523,128727,1012
TildeOpen-30B,Croatian,hrv_Latn,2.714,2.43,0.14,0.0,84.55,0.0,52.35,52978,19523,128727,1012
Aya-Vision-32B,Croatian,hrv_Latn,2.349,2.806,0.63,0.0,99.09,100.0,45.32,45868,19523,128727,1012
Llama-3.3-70B,Slovak,slk_Latn,2.561,2.631,0.71,0.0,96.64,100.0,49.48,50069,19547,131710,1012
Mistral-Small-3.2,Slovak,slk_Latn,2.651,2.541,3.13,0.0,87.39,0.0,51.21,51824,19547,131710,1012
Teuken-7B,Slovak,slk_Latn,2.125,3.171,1.69,0.0,66.39,99.8,41.04,41533,19547,131710,1012
EuroLLM-22B,Slovak,slk_Latn,1.996,3.376,0.65,0.0,83.19,100.0,38.55,39015,19547,131710,1012
SauerkrautLM-70B,Slovak,slk_Latn,2.561,2.631,0.71,0.0,96.64,100.0,49.48,50069,19547,131710,1012
GEITje-7B,Slovak,slk_Latn,2.989,2.254,2.49,0.0,76.47,100.0,57.73,58427,19547,131710,1012
TildeOpen-30B,Slovak,slk_Latn,2.767,2.435,0.16,0.0,84.87,0.0,53.45,54088,19547,131710,1012
Aya-Vision-32B,Slovak,slk_Latn,2.33,2.892,0.78,0.0,96.64,100.0,45.0,45540,19547,131710,1012
Llama-3.3-70B,Slovenian,slv_Latn,2.422,2.679,0.57,0.0,100.0,100.0,48.26,48842,20169,130855,1012
Mistral-Small-3.2,Slovenian,slv_Latn,2.23,2.909,0.11,0.0,91.92,0.0,44.45,44980,20169,130855,1012
Teuken-7B,Slovenian,slv_Latn,1.558,4.165,0.03,0.0,72.73,99.8,31.05,31421,20169,130855,1012
EuroLLM-22B,Slovenian,slv_Latn,1.871,3.467,0.37,0.0,84.85,100.0,37.3,37745,20169,130855,1012
SauerkrautLM-70B,Slovenian,slv_Latn,2.422,2.679,0.57,0.0,100.0,100.0,48.26,48842,20169,130855,1012
